GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G336","2010","US",,,,,,,,,,"Lexington-Fayette--Frankfort--Richmond, KY CSA","336",,,,,,,,,,,,"33000US336","Lexington-Fayette--Frankfort--Richmond, KY CSA",44082,"Lexington-Fayette--Frankfort--Richmond, KY CSA",1835
"G338","2010","US",,,,,,,,,,"Lima-Van Wert-Wapakoneta, OH CSA","338",,,,,,,,,,,,"33000US338","Lima-Van Wert-Wapakoneta, OH CSA",43287,"Lima-Van Wert-Wapakoneta, OH CSA",1883
"G340","2010","US",,,,,,,,,,"Little Rock-North Little Rock-Pine Bluff, AR CSA","340",,,,,,,,,,,,"33000US340","Little Rock-North Little Rock-Pine Bluff, AR CSA",43774,"Little Rock-North Little Rock-Pine Bluff, AR CSA",1496
"G346","2010","US",,,,,,,,,,"Longview-Marshall, TX CSA","346",,,,,,,,,,,,"33000US346","Longview-Marshall, TX CSA",42707,"Longview-Marshall, TX CSA",1712
"G348","2010","US",,,,,,,,,,"Los Angeles-Long Beach-Riverside, CA CSA","348",,,,,,,,,,,,"33000US348","Los Angeles-Long Beach-Riverside, CA CSA",56542,"Los Angeles-Long Beach-Riverside, CA CSA",439
"G350","2010","US",,,,,,,,,,"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA","350",,,,,,,,,,,,"33000US350","Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA",44320,"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA",970
"G352","2010","US",,,,,,,,,,"Lubbock-Levelland, TX CSA","352",,,,,,,,,,,,"33000US352","Lubbock-Levelland, TX CSA",42096,"Lubbock-Levelland, TX CSA",2156
"G354","2010","US",,,,,,,,,,"Lumberton-Laurinburg, NC CSA","354",,,,,,,,,,,,"33000US354","Lumberton-Laurinburg, NC CSA",28609,"Lumberton-Laurinburg, NC CSA",3304
"G356","2010","US",,,,,,,,,,"Macon-Warner Robins-Fort Valley, GA CSA","356",,,,,,,,,,,,"33000US356","Macon-Warner Robins-Fort Valley, GA CSA",43503,"Macon-Warner Robins-Fort Valley, GA CSA",4087
"G358","2010","US",,,,,,,,,,"Madison-Baraboo, WI CSA","358",,,,,,,,,,,,"33000US358","Madison-Baraboo, WI CSA",56471,"Madison-Baraboo, WI CSA",1427
"G360","2010","US",,,,,,,,,,"Mansfield-Bucyrus, OH CSA","360",,,,,,,,,,,,"33000US360","Mansfield-Bucyrus, OH CSA",41227,"Mansfield-Bucyrus, OH CSA",1950
"G364","2010","PR",,,,,,,,,,"Mayagüez-San Germán-Cabo Rojo, PR CSA","364",,,,,,,,,,,,"33000US364","Mayagüez-San Germán-Cabo Rojo, PR CSA",15109,"Mayagüez-San Germán-Cabo Rojo, PR CSA",888
"G372","2010","US",,,,,,,,,,"Midland-Odessa, TX CSA","372",,,,,,,,,,,,"33000US372","Midland-Odessa, TX CSA",49443,"Midland-Odessa, TX CSA",3145
"G376","2010","US",,,,,,,,,,"Milwaukee-Racine-Waukesha, WI CSA","376",,,,,,,,,,,,"33000US376","Milwaukee-Racine-Waukesha, WI CSA",50009,"Milwaukee-Racine-Waukesha, WI CSA",881
"G378","2010","US",,,,,,,,,,"Minneapolis-St. Paul-St. Cloud, MN-WI CSA","378",,,,,,,,,,,,"33000US378","Minneapolis-St. Paul-St. Cloud, MN-WI CSA",61452,"Minneapolis-St. Paul-St. Cloud, MN-WI CSA",546
"G380","2010","US",,,,,,,,,,"Mobile-Daphne-Fairhope, AL CSA","380",,,,,,,,,,,,"33000US380","Mobile-Daphne-Fairhope, AL CSA",42685,"Mobile-Daphne-Fairhope, AL CSA",1999
"G384","2010","US",,,,,,,,,,"Monroe-Bastrop, LA CSA","384",,,,,,,,,,,,"33000US384","Monroe-Bastrop, LA CSA",36960,"Monroe-Bastrop, LA CSA",2719
"G388","2010","US",,,,,,,,,,"Montgomery-Alexander City, AL CSA","388",,,,,,,,,,,,"33000US388","Montgomery-Alexander City, AL CSA",43628,"Montgomery-Alexander City, AL CSA",2526
"G396","2010","US",,,,,,,,,,"Myrtle Beach-Conway-Georgetown, SC CSA","396",,,,,,,,,,,,"33000US396","Myrtle Beach-Conway-Georgetown, SC CSA",40521,"Myrtle Beach-Conway-Georgetown, SC CSA",2824
"G400","2010","US",,,,,,,,,,"Nashville-Davidson--Murfreesboro--Columbia, TN CSA","400",,,,,,,,,,,,"33000US400","Nashville-Davidson--Murfreesboro--Columbia, TN CSA",47763,"Nashville-Davidson--Murfreesboro--Columbia, TN CSA",1001
"G406","2010","US",,,,,,,,,,"New Orleans-Metairie-Bogalusa, LA CSA","406",,,,,,,,,,,,"33000US406","New Orleans-Metairie-Bogalusa, LA CSA",45427,"New Orleans-Metairie-Bogalusa, LA CSA",1002
"G408","2010","US",,,,,,,,,,"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA","408",,,,,,,,,,,,"33000US408","New York-Newark-Bridgeport, NY-NJ-CT-PA CSA",62305,"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA",291
"G416","2010","US",,,,,,,,,,"Oklahoma City-Shawnee, OK CSA","416",,,,,,,,,,,,"33000US416","Oklahoma City-Shawnee, OK CSA",45749,"Oklahoma City-Shawnee, OK CSA",914
"G420","2010","US",,,,,,,,,,"Omaha-Council Bluffs-Fremont, NE-IA CSA","420",,,,,,,,,,,,"33000US420","Omaha-Council Bluffs-Fremont, NE-IA CSA",53027,"Omaha-Council Bluffs-Fremont, NE-IA CSA",1318
"G422","2010","US",,,,,,,,,,"Orlando-Deltona-Daytona Beach, FL CSA","422",,,,,,,,,,,,"33000US422","Orlando-Deltona-Daytona Beach, FL CSA",45416,"Orlando-Deltona-Daytona Beach, FL CSA",708
"G424","2010","US",,,,,,,,,,"Paducah-Mayfield, KY-IL CSA","424",,,,,,,,,,,,"33000US424","Paducah-Mayfield, KY-IL CSA",39134,"Paducah-Mayfield, KY-IL CSA",2643
"G426","2010","US",,,,,,,,,,"Peoria-Canton, IL CSA","426",,,,,,,,,,,,"33000US426","Peoria-Canton, IL CSA",49846,"Peoria-Canton, IL CSA",1316
"G428","2010","US",,,,,,,,,,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA","428",,,,,,,,,,,,"33000US428","Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA",57379,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA",550
"G430","2010","US",,,,,,,,,,"Pittsburgh-New Castle, PA CSA","430",,,,,,,,,,,,"33000US430","Pittsburgh-New Castle, PA CSA",46321,"Pittsburgh-New Castle, PA CSA",813
"G434","2010","PR",,,,,,,,,,"Ponce-Yauco-Coamo, PR CSA","434",,,,,,,,,,,,"33000US434","Ponce-Yauco-Coamo, PR CSA",15954,"Ponce-Yauco-Coamo, PR CSA",740
"G438","2010","US",,,,,,,,,,"Portland-Lewiston-South Portland, ME CSA","438",,,,,,,,,,,,"33000US438","Portland-Lewiston-South Portland, ME CSA",53611,"Portland-Lewiston-South Portland, ME CSA",1904
"G442","2010","US",,,,,,,,,,"Port St. Lucie-Sebastian-Vero Beach, FL CSA","442",,,,,,,,,,,,"33000US442","Port St. Lucie-Sebastian-Vero Beach, FL CSA",42439,"Port St. Lucie-Sebastian-Vero Beach, FL CSA",2000
"G450","2010","US",,,,,,,,,,"Raleigh-Durham-Cary, NC CSA","450",,,,,,,,,,,,"33000US450","Raleigh-Durham-Cary, NC CSA",53427,"Raleigh-Durham-Cary, NC CSA",1565
"G456","2010","US",,,,,,,,,,"Reno-Sparks-Fernley, NV CSA","456",,,,,,,,,,,,"33000US456","Reno-Sparks-Fernley, NV CSA",49836,"Reno-Sparks-Fernley, NV CSA",2694
"G464","2010","US",,,,,,,,,,"Rochester-Batavia-Seneca Falls, NY CSA","464",,,,,,,,,,,,"33000US464","Rochester-Batavia-Seneca Falls, NY CSA",50085,"Rochester-Batavia-Seneca Falls, NY CSA",962
"G466","2010","US",,,,,,,,,,"Rockford-Freeport-Rochelle, IL CSA","466",,,,,,,,,,,,"33000US466","Rockford-Freeport-Rochelle, IL CSA",46719,"Rockford-Freeport-Rochelle, IL CSA",1567
"G472","2010","US",,,,,,,,,,"Sacramento--Arden-Arcade--Yuba City, CA-NV CSA","472",,,,,,,,,,,,"33000US472","Sacramento--Arden-Arcade--Yuba City, CA-NV CSA",55320,"Sacramento--Arden-Arcade--Yuba City, CA-NV CSA",1003
"G474","2010","US",,,,,,,,,,"Saginaw-Bay City-Saginaw Township North, MI CSA","474",,,,,,,,,,,,"33000US474","Saginaw-Bay City-Saginaw Township North, MI CSA",42948,"Saginaw-Bay City-Saginaw Township North, MI CSA",1726
"G476","2010","US",,,,,,,,,,"St. Louis-St. Charles-Farmington, MO-IL CSA","476",,,,,,,,,,,,"33000US476","St. Louis-St. Charles-Farmington, MO-IL CSA",50612,"St. Louis-St. Charles-Farmington, MO-IL CSA",600
"G480","2010","US",,,,,,,,,,"Salisbury-Ocean Pines, MD CSA","480",,,,,,,,,,,,"33000US480","Salisbury-Ocean Pines, MD CSA",52135,"Salisbury-Ocean Pines, MD CSA",2625
"G482","2010","US",,,,,,,,,,"Salt Lake City-Ogden-Clearfield, UT CSA","482",,,,,,,,,,,,"33000US482","Salt Lake City-Ogden-Clearfield, UT CSA",57972,"Salt Lake City-Ogden-Clearfield, UT CSA",994
"G488","2010","US",,,,,,,,,,"San Jose-San Francisco-Oakland, CA CSA","488",,,,,,,,,,,,"33000US488","San Jose-San Francisco-Oakland, CA CSA",72662,"San Jose-San Francisco-Oakland, CA CSA",695
"G490","2010","PR",,,,,,,,,,"San Juan-Caguas-Fajardo, PR CSA","490",,,,,,,,,,,,"33000US490","San Juan-Caguas-Fajardo, PR CSA",20744,"San Juan-Caguas-Fajardo, PR CSA",419
"G492","2010","US",,,,,,,,,,"Santa Fe-Espanola, NM CSA","492",,,,,,,,,,,,"33000US492","Santa Fe-Espanola, NM CSA",44670,"Santa Fe-Espanola, NM CSA",2927
"G494","2010","US",,,,,,,,,,"Sarasota-Bradenton-Punta Gorda, FL CSA","494",,,,,,,,,,,,"33000US494","Sarasota-Bradenton-Punta Gorda, FL CSA",44703,"Sarasota-Bradenton-Punta Gorda, FL CSA",1451
"G496","2010","US",,,,,,,,,,"Savannah-Hinesville-Fort Stewart, GA CSA","496",,,,,,,,,,,,"33000US496","Savannah-Hinesville-Fort Stewart, GA CSA",45549,"Savannah-Hinesville-Fort Stewart, GA CSA",1954
"G500","2010","US",,,,,,,,,,"Seattle-Tacoma-Olympia, WA CSA","500",,,,,,,,,,,,"33000US500","Seattle-Tacoma-Olympia, WA CSA",61832,"Seattle-Tacoma-Olympia, WA CSA",525
"G508","2010","US",,,,,,,,,,"Shreveport-Bossier City-Minden, LA CSA","508",,,,,,,,,,,,"33000US508","Shreveport-Bossier City-Minden, LA CSA",40259,"Shreveport-Bossier City-Minden, LA CSA",2020
