GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G78580","2010","US",,,,,,,,,,,,,,,"San Antonio, TX Urbanized Area","78580",,,,,,,"40000US78580","San Antonio, TX Urbanized Area",45216,"San Antonio, TX Urbanized Area",981
"G78661","2010","US",,,,,,,,,,,,,,,"San Diego, CA Urbanized Area","78661",,,,,,,"40000US78661","San Diego, CA Urbanized Area",57782,"San Diego, CA Urbanized Area",1208
"G78904","2010","US",,,,,,,,,,,,,,,"San Francisco--Oakland, CA Urbanized Area","78904",,,,,,,"40000US78904","San Francisco--Oakland, CA Urbanized Area",70516,"San Francisco--Oakland, CA Urbanized Area",658
"G78985","2010","PR",,,,,,,,,,,,,,,"San Germán--Cabo Rojo--Sabana Grande, PR Urbanized Area","78985",,,,,,,"40000US78985","San Germán--Cabo Rojo--Sabana Grande, PR Urbanized Area",14775,"San Germán--Cabo Rojo--Sabana Grande, PR Urbanized Area",1160
"G79039","2010","US",,,,,,,,,,,,,,,"San Jose, CA Urbanized Area","79039",,,,,,,"40000US79039","San Jose, CA Urbanized Area",85193,"San Jose, CA Urbanized Area",1717
"G79093","2010","PR",,,,,,,,,,,,,,,"San Juan, PR Urbanized Area","79093",,,,,,,"40000US79093","San Juan, PR Urbanized Area",21629,"San Juan, PR Urbanized Area",469
"G79282","2010","US",,,,,,,,,,,,,,,"Santa Barbara, CA Urbanized Area","79282",,,,,,,"40000US79282","Santa Barbara, CA Urbanized Area",62237,"Santa Barbara, CA Urbanized Area",5315
"G79309","2010","US",,,,,,,,,,,,,,,"Santa Clarita, CA Urbanized Area","79309",,,,,,,"40000US79309","Santa Clarita, CA Urbanized Area",77808,"Santa Clarita, CA Urbanized Area",3309
"G79336","2010","US",,,,,,,,,,,,,,,"Santa Cruz, CA Urbanized Area","79336",,,,,,,"40000US79336","Santa Cruz, CA Urbanized Area",60927,"Santa Cruz, CA Urbanized Area",3994
"G79363","2010","US",,,,,,,,,,,,,,,"Santa Fe, NM Urbanized Area","79363",,,,,,,"40000US79363","Santa Fe, NM Urbanized Area",42123,"Santa Fe, NM Urbanized Area",5004
"G79417","2010","US",,,,,,,,,,,,,,,"Santa Maria, CA Urbanized Area","79417",,,,,,,"40000US79417","Santa Maria, CA Urbanized Area",51637,"Santa Maria, CA Urbanized Area",2475
"G79498","2010","US",,,,,,,,,,,,,,,"Santa Rosa, CA Urbanized Area","79498",,,,,,,"40000US79498","Santa Rosa, CA Urbanized Area",56292,"Santa Rosa, CA Urbanized Area",2647
"G79606","2010","US",,,,,,,,,,,,,,,"Sarasota--Bradenton, FL Urbanized Area","79606",,,,,,,"40000US79606","Sarasota--Bradenton, FL Urbanized Area",42575,"Sarasota--Bradenton, FL Urbanized Area",1495
"G79768","2010","US",,,,,,,,,,,,,,,"Savannah, GA Urbanized Area","79768",,,,,,,"40000US79768","Savannah, GA Urbanized Area",40299,"Savannah, GA Urbanized Area",4184
"G80227","2010","US",,,,,,,,,,,,,,,"Scranton, PA Urbanized Area","80227",,,,,,,"40000US80227","Scranton, PA Urbanized Area",40401,"Scranton, PA Urbanized Area",1566
